Fecha,diario,PCR+
2020-02-25,2,2
2020-02-26,6,8
2020-02-27,5,13
2020-02-28,13,26
2020-02-29,11,37
2020-03-01,27,64
2020-03-02,48,112
2020-03-03,51,163
2020-03-04,67,230
2020-03-05,127,357
2020-03-06,213,570
2020-03-07,246,816
2020-03-08,288,1104
2020-03-09,543,1647
2020-03-10,756,2403
2020-03-11,831,3234
2020-03-12,848,4082
2020-03-13,1029,5111
2020-03-14,953,6064
2020-03-15,849,6913
2020-03-16,1315,8228
2020-03-17,2031,10259
2020-03-18,1834,12093
2020-03-19,2143,14236
2020-03-20,2442,16678
2020-03-21,1743,18421
2020-03-22,1570,19991
2020-03-23,2790,22781
2020-03-24,2977,25758
2020-03-25,3105,28863
2020-03-26,3513,32376
2020-03-27,2506,34882
2020-03-28,1088,35970
2020-03-29,908,36878
2020-03-30,2667,39545
2020-03-31,1944,41489
2020-04-01,1917,43406
2020-04-02,1955,45361
2020-04-03,1896,47257
2020-04-04,953,48210
2020-04-05,577,48787
2020-04-06,1757,50544
2020-04-07,1592,52136
2020-04-08,1606,53742
2020-04-09,1111,54853
2020-04-10,1008,55861
2020-04-11,625,56486
2020-04-12,411,56897
2020-04-13,1218,58115
2020-04-14,1366,59481
2020-04-15,1151,60632
2020-04-16,1066,61698
2020-04-17,1079,62777
2020-04-18,612,63389
2020-04-19,270,63659
2020-04-20,876,64535
2020-04-21,928,65463
2020-04-22,997,66460
2020-04-23,769,67229
2020-04-24,955,68184
2020-04-25,412,68596
2020-04-26,221,68817
2020-04-27,990,69807
2020-04-28,949,70756
2020-04-29,903,71659
2020-04-30,702,72361
2020-05-01,307,72668
2020-05-02,201,72869
2020-05-03,203,73072
2020-05-04,779,73851
2020-05-05,789,74640
2020-05-06,739,75379
2020-05-07,627,76006
2020-05-08,632,76638
2020-05-09,188,76826
2020-05-10,137,76963
2020-05-11,670,77633
2020-05-12,625,78258
2020-05-13,662,78920
2020-05-14,714,79634
2020-05-15,424,80058
2020-05-16,109,80167
2020-05-17,134,80301
2020-05-18,517,80818
2020-05-19,578,81396
2020-05-20,636,82032
2020-05-21,454,82486
2020-05-22,566,83052
2020-05-23,169,83221
2020-05-24,109,83330
2020-05-25,409,83739
2020-05-26,629,84368
2020-05-27,605,84973
2020-05-28,590,85563
2020-05-29,574,86137
2020-05-30,206,86343
2020-05-31,163,86506
2020-06-01,466,86972
2020-06-02,617,87589
2020-06-03,623,88212
2020-06-04,533,88745
2020-06-05,564,89309
2020-06-06,249,89558
2020-06-07,91,89649
2020-06-08,402,90051
2020-06-09,443,90494
2020-06-10,445,90939
2020-06-11,485,91424
2020-06-12,552,91976
2020-06-13,167,92143
2020-06-14,63,92206
2020-06-15,453,92659
2020-06-16,430,93089
2020-06-17,423,93512
2020-06-18,496,94008
2020-06-19,542,94550
2020-06-20,161,94711
2020-06-21,96,94807
2020-06-22,248,95055
2020-06-23,417,95472
2020-06-24,439,95911
2020-06-25,415,96326
2020-06-26,456,96782
2020-06-27,159,96941
2020-06-28,74,97015
2020-06-29,252,97267
2020-06-30,414,97681
2020-07-01,330,98011
2020-07-02,326,98337
2020-07-03,408,98745
2020-07-04,168,98913
2020-07-05,77,98990
2020-07-06,214,99204
2020-07-07,370,99574
2020-07-08,321,99895
2020-07-09,311,100206
2020-07-10,472,100678
2020-07-11,143,100821
2020-07-12,84,100905
2020-07-13,250,101155
2020-07-14,459,101614
2020-07-15,386,102000
2020-07-16,325,102325
2020-07-17,520,102845
2020-07-18,162,103007
2020-07-19,96,103103
2020-07-20,306,103409
2020-07-21,496,103905
2020-07-22,460,104365
2020-07-23,508,104873
2020-07-24,783,105656
2020-07-25,267,105923
2020-07-26,163,106086
2020-07-27,450,106536
2020-07-28,849,107385
2020-07-29,809,108194
2020-07-30,989,109183
2020-07-31,1398,110581
2020-08-01,417,110998
2020-08-02,239,111237
2020-08-03,725,111962
2020-08-04,1515,113477
2020-08-05,1378,114855
2020-08-06,1534,116389
2020-08-07,2113,118502
2020-08-08,633,119135
2020-08-09,398,119533
2020-08-10,922,120455
2020-08-11,2518,122973
2020-08-12,2235,125208
2020-08-13,2496,127704
2020-08-14,3356,131060
2020-08-15,936,131996
2020-08-16,538,132534
2020-08-17,1313,133847
2020-08-18,3570,137417
2020-08-19,3390,140807
2020-08-20,3264,144071
2020-08-21,4666,148737
2020-08-22,1331,150068
2020-08-23,686,150754
2020-08-24,1473,152227
2020-08-25,4230,156457
2020-08-26,3668,160125
2020-08-27,3544,163669
2020-08-28,4720,168389
2020-08-29,1203,169592
2020-08-30,981,170573
2020-08-31,1618,172191
2020-09-01,4236,176427
2020-09-02,3821,180248
2020-09-03,3781,184029
2020-09-04,5182,189211
2020-09-05,1675,190886
2020-09-06,1074,191960
2020-09-07,1901,193861
2020-09-08,4943,198804
2020-09-09,4910,203714
2020-09-10,4657,208371
2020-09-11,6264,214635
2020-09-12,2067,216702
2020-09-13,1462,218164
2020-09-14,2385,220549
2020-09-15,6000,226549
2020-09-16,5535,232084
2020-09-17,5375,237459
2020-09-18,7238,244697
2020-09-19,1766,246463
2020-09-20,1095,247558
2020-09-21,2280,249838
2020-09-22,5165,255003
2020-09-23,4731,259734
2020-09-24,4389,264123
2020-09-25,5418,269541
2020-09-26,1429,270970
2020-09-27,905,271875
2020-09-28,1799,273674
2020-09-29,4223,277897
2020-09-30,3567,281464
2020-10-01,3080,284544
2020-10-02,3796,288340
2020-10-03,968,289308
2020-10-04,465,289773
2020-10-05,2187,291960
2020-10-06,3182,295142
2020-10-07,2922,298064
2020-10-08,2806,300870
2020-10-09,2981,303851
2020-10-10,649,304500
2020-10-11,558,305058
2020-10-12,548,305606
2020-10-13,2697,308303
2020-10-14,2830,311133
2020-10-15,2597,313730
2020-10-16,2799,316529
2020-10-17,672,317201
2020-10-18,513,317714
2020-10-19,2347,320061
2020-10-20,2641,322702
2020-10-21,2465,325167
2020-10-22,2271,327438
2020-10-23,2472,329910
2020-10-24,594,330504
2020-10-25,527,331031
2020-10-26,2119,333150
2020-10-27,2263,335413
2020-10-28,2037,337450
2020-10-29,2061,339511
2020-10-30,2234,341745
2020-10-31,548,342293
2020-11-01,485,342778
2020-11-02,563,343341
2020-11-03,2118,345459
2020-11-04,2056,347515
2020-11-05,1831,349346
2020-11-06,2015,351361
2020-11-07,554,351915
2020-11-08,420,352335
2020-11-09,1007,353342
2020-11-10,1745,355087
2020-11-11,1658,356745
2020-11-12,1528,358273
2020-11-13,1590,359863
2020-11-14,398,360261
2020-11-15,330,360591
2020-11-16,1241,361832
2020-11-17,1383,363215
2020-11-18,1277,364492
2020-11-19,1093,365585
2020-11-20,1221,366806
2020-11-21,316,367122
2020-11-22,205,367327
2020-11-23,1025,368352
2020-11-24,1066,369418
2020-11-25,1048,370466
2020-11-26,970,371436
2020-11-27,1144,372580
2020-11-28,305,372885
2020-11-29,180,373065
2020-11-30,955,374020
2020-12-01,1110,375130
2020-12-02,1142,376272
2020-12-03,1002,377274
2020-12-04,1037,378311
2020-12-05,296,378607
2020-12-06,259,378866
2020-12-07,367,379233
2020-12-08,340,379573
2020-12-09,1332,380905
2020-12-10,1531,382436
2020-12-11,1847,384283
2020-12-12,427,384710
2020-12-13,319,385029
2020-12-14,1319,386348
2020-12-15,1557,387905
2020-12-16,1592,389497
2020-12-17,1385,390882
2020-12-18,1561,392443
2020-12-19,455,392898
2020-12-20,362,393260
2020-12-21,1508,394768
2020-12-22,1680,396448
2020-12-23,2852,399300
2020-12-24,959,400259
2020-12-25,494,400753
2020-12-26,873,401626
2020-12-27,794,402420
2020-12-28,3282,405702
2020-12-29,4157,409859
2020-12-30,4830,414689
2020-12-31,1348,416037
2021-01-01,715,416752
2021-01-02,1293,418045
2021-01-03,1151,419196
2021-01-04,4703,423899
2021-01-05,7365,431264
2021-01-06,1504,432768
2021-01-07,4649,437417
2021-01-08,6337,443754
2021-01-09,486,444240
2021-01-10,525,444765
2021-01-11,4460,449225
2021-01-12,4620,453845
2021-01-13,5533,459378
2021-01-14,5827,465205
2021-01-15,6654,471859
2021-01-16,1643,473502
2021-01-17,1251,474753
2021-01-18,5835,480588
2021-01-19,7882,488470
2021-01-20,6512,494982
2021-01-21,6071,501053
2021-01-22,7355,508408
2021-01-23,1714,510122
2021-01-24,1154,511276
2021-01-25,5671,516947
2021-01-26,6665,523612
2021-01-27,5941,529553
2021-01-28,5529,535082
2021-01-29,6120,541202
2021-01-30,1378,542580
2021-01-31,900,543480
2021-02-01,4216,547696
2021-02-02,5097,552793
2021-02-03,4369,557162
2021-02-04,3880,561042
2021-02-05,4408,565450
2021-02-06,955,566405
2021-02-07,534,566939
2021-02-08,2923,569862
2021-02-09,3463,573325
2021-02-10,2915,576240
2021-02-11,2434,578674
2021-02-12,2800,581474
2021-02-13,628,582102
2021-02-14,407,582509
2021-02-15,2133,584642
2021-02-16,2357,586999
2021-02-17,2031,589030
2021-02-18,1859,590889
2021-02-19,2009,592898
2021-02-20,486,593384
2021-02-21,414,593798
2021-02-22,1569,595367
2021-02-23,1904,597271
2021-02-24,1604,598875
2021-02-25,1379,600254
2021-02-26,1626,601880
2021-02-27,505,602385
2021-02-28,319,602704
2021-03-01,1396,604100
2021-03-02,1496,605596
2021-03-03,1475,607071
2021-03-04,1328,608399
2021-03-05,1586,609985
2021-03-06,408,610393
2021-03-07,295,610688
2021-03-08,1312,612000
2021-03-09,1546,613546
2021-03-10,1395,614941
2021-03-11,1330,616271
2021-03-12,1656,617927
2021-03-13,434,618361
2021-03-14,310,618671
2021-03-15,1368,620039
2021-03-16,1645,621684
2021-03-17,1584,623268
2021-03-18,1846,625114
2021-03-19,451,625565
2021-03-20,514,626079
2021-03-21,392,626471
2021-03-22,1686,628157
2021-03-23,2084,630241
2021-03-24,1950,632191
2021-03-25,1924,634115
2021-03-26,2164,636279
2021-03-27,667,636946
2021-03-28,489,637435
2021-03-29,1875,639310
2021-03-30,2225,641535
2021-03-31,2701,644236
2021-04-01,735,644971
2021-04-02,694,645665
2021-04-03,909,646574
2021-04-04,684,647258
2021-04-05,2557,649815
2021-04-06,2956,652771
2021-04-07,2699,655470
2021-04-08,2446,657916
2021-04-09,2843,660759
2021-04-10,709,661468
2021-04-11,618,662086
2021-04-12,2243,664329
2021-04-13,2726,667055
2021-04-14,2541,669596
2021-04-15,2388,671984
2021-04-16,2816,674800
2021-04-17,857,675657
2021-04-18,624,676281
2021-04-19,2379,678660
2021-04-20,2764,681424
2021-04-21,2438,683862
2021-04-22,2389,686251
2021-04-23,2780,689031
2021-04-24,674,689705
2021-04-25,504,690209
2021-04-26,2166,692375
2021-04-27,2524,694899
2021-04-28,2280,697179
2021-04-29,2106,699285
2021-04-30,2361,701646
2021-05-01,543,702189
2021-05-02,485,702674
2021-05-03,557,703231
2021-05-04,1687,704918
2021-05-05,2094,707012
2021-05-06,1874,708886
2021-05-07,2104,710990
2021-05-08,475,711465
2021-05-09,364,711829
2021-05-10,1407,713236
2021-05-11,1509,714745
2021-05-12,1446,716191
2021-05-13,1274,717465
2021-05-14,1537,719002
2021-05-15,367,719369
2021-05-16,341,719710
2021-05-17,1272,720982
2021-05-18,1453,722435
2021-05-19,1249,723684
2021-05-20,1153,724837
2021-05-21,1396,726233
2021-05-22,331,726564
2021-05-23,274,726838
2021-05-24,1021,727859
2021-05-25,1174,729033
2021-05-26,1034,730067
2021-05-27,999,731066
2021-05-28,1103,732169
2021-05-29,288,732457
2021-05-30,249,732706
2021-05-31,886,733592
2021-06-01,887,734479
2021-06-02,852,735331
2021-06-03,746,736077
2021-06-04,733,736810
2021-06-05,257,737067
2021-06-06,134,737201
2021-06-07,628,737829
2021-06-08,676,738505
2021-06-09,602,739107
2021-06-10,478,739585
2021-06-11,612,740197
2021-06-12,164,740361
2021-06-13,123,740484
2021-06-14,486,740970
2021-06-15,569,741539
2021-06-16,458,741997
2021-06-17,403,742400
2021-06-18,464,742864
2021-06-19,162,743026
2021-06-20,168,743194
2021-06-21,496,743690
2021-06-22,525,744215
2021-06-23,556,744771
2021-06-24,539,745310
2021-06-25,648,745958
2021-06-26,218,746176
2021-06-27,175,746351
2021-06-28,657,747008
2021-06-29,845,747853
2021-06-30,889,748742
2021-07-01,899,749641
2021-07-02,1077,750718
