Fecha,diario,PCR+
2020-02-25,2,2
2020-02-26,6,8
2020-02-27,5,13
2020-02-28,13,26
2020-02-29,11,37
2020-03-01,27,64
2020-03-02,48,112
2020-03-03,51,163
2020-03-04,67,230
2020-03-05,127,357
2020-03-06,213,570
2020-03-07,246,816
2020-03-08,288,1104
2020-03-09,543,1647
2020-03-10,756,2403
2020-03-11,831,3234
2020-03-12,849,4083
2020-03-13,1029,5112
2020-03-14,953,6065
2020-03-15,849,6914
2020-03-16,1315,8229
2020-03-17,2031,10260
2020-03-18,1834,12094
2020-03-19,2143,14237
2020-03-20,2442,16679
2020-03-21,1743,18422
2020-03-22,1570,19992
2020-03-23,2789,22781
2020-03-24,2978,25759
2020-03-25,3105,28864
2020-03-26,3513,32377
2020-03-27,2506,34883
2020-03-28,1088,35971
2020-03-29,908,36879
2020-03-30,2667,39546
2020-03-31,1944,41490
2020-04-01,1917,43407
2020-04-02,1954,45361
2020-04-03,1896,47257
2020-04-04,953,48210
2020-04-05,577,48787
2020-04-06,1756,50543
2020-04-07,1592,52135
2020-04-08,1607,53742
2020-04-09,1111,54853
2020-04-10,1010,55863
2020-04-11,624,56487
2020-04-12,411,56898
2020-04-13,1218,58116
2020-04-14,1366,59482
2020-04-15,1150,60632
2020-04-16,1067,61699
2020-04-17,1079,62778
2020-04-18,612,63390
2020-04-19,271,63661
2020-04-20,875,64536
2020-04-21,929,65465
2020-04-22,996,66461
2020-04-23,769,67230
2020-04-24,955,68185
2020-04-25,413,68598
2020-04-26,221,68819
2020-04-27,990,69809
2020-04-28,948,70757
2020-04-29,903,71660
2020-04-30,702,72362
2020-05-01,307,72669
2020-05-02,201,72870
2020-05-03,203,73073
2020-05-04,779,73852
2020-05-05,789,74641
2020-05-06,737,75378
2020-05-07,627,76005
2020-05-08,632,76637
2020-05-09,186,76823
2020-05-10,137,76960
2020-05-11,670,77630
2020-05-12,625,78255
2020-05-13,661,78916
2020-05-14,713,79629
2020-05-15,422,80051
2020-05-16,109,80160
2020-05-17,134,80294
2020-05-18,517,80811
2020-05-19,578,81389
2020-05-20,632,82021
2020-05-21,455,82476
2020-05-22,565,83041
2020-05-23,169,83210
2020-05-24,109,83319
2020-05-25,409,83728
2020-05-26,630,84358
2020-05-27,605,84963
2020-05-28,589,85552
2020-05-29,573,86125
2020-05-30,205,86330
2020-05-31,163,86493
2020-06-01,466,86959
2020-06-02,616,87575
2020-06-03,623,88198
2020-06-04,533,88731
2020-06-05,563,89294
2020-06-06,249,89543
2020-06-07,90,89633
2020-06-08,401,90034
2020-06-09,443,90477
2020-06-10,445,90922
2020-06-11,485,91407
2020-06-12,552,91959
2020-06-13,167,92126
2020-06-14,63,92189
2020-06-15,454,92643
2020-06-16,430,93073
2020-06-17,423,93496
2020-06-18,491,93987
2020-06-19,541,94528
2020-06-20,161,94689
2020-06-21,96,94785
2020-06-22,247,95032
2020-06-23,417,95449
2020-06-24,439,95888
2020-06-25,415,96303
2020-06-26,455,96758
2020-06-27,159,96917
2020-06-28,74,96991
2020-06-29,252,97243
2020-06-30,414,97657
2020-07-01,331,97988
2020-07-02,324,98312
2020-07-03,408,98720
2020-07-04,168,98888
2020-07-05,77,98965
2020-07-06,213,99178
2020-07-07,368,99546
2020-07-08,321,99867
2020-07-09,311,100178
2020-07-10,472,100650
2020-07-11,143,100793
2020-07-12,84,100877
2020-07-13,250,101127
2020-07-14,458,101585
2020-07-15,386,101971
2020-07-16,324,102295
2020-07-17,518,102813
2020-07-18,162,102975
2020-07-19,96,103071
2020-07-20,306,103377
2020-07-21,495,103872
2020-07-22,460,104332
2020-07-23,508,104840
2020-07-24,781,105621
2020-07-25,267,105888
2020-07-26,163,106051
2020-07-27,449,106500
2020-07-28,849,107349
2020-07-29,809,108158
2020-07-30,989,109147
2020-07-31,1398,110545
2020-08-01,417,110962
2020-08-02,240,111202
2020-08-03,724,111926
2020-08-04,1515,113441
2020-08-05,1378,114819
2020-08-06,1534,116353
2020-08-07,2111,118464
2020-08-08,633,119097
2020-08-09,398,119495
2020-08-10,922,120417
2020-08-11,2518,122935
2020-08-12,2233,125168
2020-08-13,2496,127664
2020-08-14,3356,131020
2020-08-15,936,131956
2020-08-16,537,132493
2020-08-17,1313,133806
2020-08-18,3570,137376
2020-08-19,3390,140766
2020-08-20,3264,144030
2020-08-21,4663,148693
2020-08-22,1331,150024
2020-08-23,686,150710
2020-08-24,1472,152182
2020-08-25,4229,156411
2020-08-26,3667,160078
2020-08-27,3541,163619
2020-08-28,4719,168338
2020-08-29,1203,169541
2020-08-30,980,170521
2020-08-31,1618,172139
2020-09-01,4235,176374
2020-09-02,3821,180195
2020-09-03,3780,183975
2020-09-04,5182,189157
2020-09-05,1675,190832
2020-09-06,1073,191905
2020-09-07,1900,193805
2020-09-08,4943,198748
2020-09-09,4909,203657
2020-09-10,4657,208314
2020-09-11,6262,214576
2020-09-12,2065,216641
2020-09-13,1462,218103
2020-09-14,2382,220485
2020-09-15,6001,226486
2020-09-16,5535,232021
2020-09-17,5373,237394
2020-09-18,7236,244630
2020-09-19,1766,246396
2020-09-20,1094,247490
2020-09-21,2279,249769
2020-09-22,5161,254930
2020-09-23,4730,259660
2020-09-24,4389,264049
2020-09-25,5416,269465
2020-09-26,1428,270893
2020-09-27,904,271797
2020-09-28,1798,273595
2020-09-29,4221,277816
2020-09-30,3564,281380
2020-10-01,3078,284458
2020-10-02,3795,288253
2020-10-03,968,289221
2020-10-04,465,289686
2020-10-05,2187,291873
2020-10-06,3180,295053
2020-10-07,2922,297975
2020-10-08,2805,300780
2020-10-09,2982,303762
2020-10-10,649,304411
2020-10-11,557,304968
2020-10-12,548,305516
2020-10-13,2694,308210
2020-10-14,2829,311039
2020-10-15,2595,313634
2020-10-16,2797,316431
2020-10-17,670,317101
2020-10-18,513,317614
2020-10-19,2346,319960
2020-10-20,2639,322599
2020-10-21,2464,325063
2020-10-22,2269,327332
2020-10-23,2473,329805
2020-10-24,593,330398
2020-10-25,526,330924
2020-10-26,2117,333041
2020-10-27,2262,335303
2020-10-28,2037,337340
2020-10-29,2060,339400
2020-10-30,2233,341633
2020-10-31,547,342180
2020-11-01,485,342665
2020-11-02,563,343228
2020-11-03,2115,345343
2020-11-04,2053,347396
2020-11-05,1830,349226
2020-11-06,2012,351238
2020-11-07,553,351791
2020-11-08,420,352211
2020-11-09,1007,353218
2020-11-10,1744,354962
2020-11-11,1656,356618
2020-11-12,1527,358145
2020-11-13,1587,359732
2020-11-14,399,360131
2020-11-15,329,360460
2020-11-16,1240,361700
2020-11-17,1381,363081
2020-11-18,1277,364358
2020-11-19,1093,365451
2020-11-20,1221,366672
2020-11-21,316,366988
2020-11-22,205,367193
2020-11-23,1024,368217
2020-11-24,1066,369283
2020-11-25,1048,370331
2020-11-26,969,371300
2020-11-27,1141,372441
2020-11-28,305,372746
2020-11-29,180,372926
2020-11-30,953,373879
2020-12-01,1111,374990
2020-12-02,1140,376130
2020-12-03,1001,377131
2020-12-04,1035,378166
2020-12-05,296,378462
2020-12-06,258,378720
2020-12-07,367,379087
2020-12-08,339,379426
2020-12-09,1331,380757
2020-12-10,1531,382288
2020-12-11,1845,384133
2020-12-12,425,384558
2020-12-13,318,384876
2020-12-14,1315,386191
2020-12-15,1558,387749
2020-12-16,1592,389341
2020-12-17,1384,390725
2020-12-18,1559,392284
2020-12-19,455,392739
2020-12-20,362,393101
2020-12-21,1506,394607
2020-12-22,1679,396286
2020-12-23,2851,399137
2020-12-24,959,400096
2020-12-25,494,400590
2020-12-26,873,401463
2020-12-27,794,402257
2020-12-28,3282,405539
2020-12-29,4155,409694
2020-12-30,4828,414522
2020-12-31,1348,415870
2021-01-01,715,416585
2021-01-02,1292,417877
2021-01-03,1151,419028
2021-01-04,4701,423729
2021-01-05,7362,431091
2021-01-06,1504,432595
2021-01-07,4648,437243
2021-01-08,6337,443580
2021-01-09,486,444066
2021-01-10,525,444591
2021-01-11,4460,449051
2021-01-12,4620,453671
2021-01-13,5532,459203
2021-01-14,5827,465030
2021-01-15,6654,471684
2021-01-16,1643,473327
2021-01-17,1251,474578
2021-01-18,5833,480411
2021-01-19,7882,488293
2021-01-20,6512,494805
2021-01-21,6070,500875
2021-01-22,7354,508229
2021-01-23,1714,509943
2021-01-24,1154,511097
2021-01-25,5671,516768
2021-01-26,6663,523431
2021-01-27,5941,529372
2021-01-28,5526,534898
2021-01-29,6119,541017
2021-01-30,1377,542394
2021-01-31,898,543292
2021-02-01,4216,547508
2021-02-02,5095,552603
2021-02-03,4369,556972
2021-02-04,3879,560851
2021-02-05,4406,565257
2021-02-06,953,566210
2021-02-07,533,566743
2021-02-08,2923,569666
2021-02-09,3463,573129
2021-02-10,2913,576042
2021-02-11,2434,578476
2021-02-12,2797,581273
2021-02-13,626,581899
2021-02-14,407,582306
2021-02-15,2133,584439
2021-02-16,2355,586794
2021-02-17,2029,588823
2021-02-18,1858,590681
2021-02-19,2009,592690
2021-02-20,485,593175
2021-02-21,414,593589
2021-02-22,1567,595156
2021-02-23,1904,597060
2021-02-24,1602,598662
2021-02-25,1379,600041
2021-02-26,1625,601666
2021-02-27,505,602171
2021-02-28,319,602490
2021-03-01,1394,603884
2021-03-02,1495,605379
2021-03-03,1474,606853
2021-03-04,1328,608181
2021-03-05,1586,609767
2021-03-06,408,610175
2021-03-07,295,610470
2021-03-08,1311,611781
2021-03-09,1546,613327
2021-03-10,1395,614722
2021-03-11,1329,616051
2021-03-12,1655,617706
2021-03-13,434,618140
2021-03-14,310,618450
2021-03-15,1366,619816
2021-03-16,1645,621461
2021-03-17,1584,623045
2021-03-18,1846,624891
2021-03-19,451,625342
2021-03-20,514,625856
2021-03-21,392,626248
2021-03-22,1686,627934
2021-03-23,2084,630018
2021-03-24,1950,631968
2021-03-25,1924,633892
2021-03-26,2163,636055
2021-03-27,667,636722
2021-03-28,489,637211
2021-03-29,1874,639085
2021-03-30,2225,641310
2021-03-31,2700,644010
2021-04-01,735,644745
2021-04-02,693,645438
2021-04-03,909,646347
2021-04-04,684,647031
2021-04-05,2557,649588
2021-04-06,2954,652542
2021-04-07,2699,655241
2021-04-08,2445,657686
2021-04-09,2843,660529
2021-04-10,707,661236
2021-04-11,618,661854
2021-04-12,2242,664096
2021-04-13,2723,666819
2021-04-14,2541,669360
2021-04-15,2388,671748
2021-04-16,2814,674562
2021-04-17,857,675419
2021-04-18,624,676043
2021-04-19,2380,678423
2021-04-20,2763,681186
2021-04-21,2436,683622
2021-04-22,2386,686008
2021-04-23,2780,688788
2021-04-24,674,689462
2021-04-25,504,689966
2021-04-26,2165,692131
2021-04-27,2523,694654
2021-04-28,2279,696933
2021-04-29,2106,699039
2021-04-30,2360,701399
2021-05-01,543,701942
2021-05-02,483,702425
2021-05-03,556,702981
2021-05-04,1686,704667
2021-05-05,2091,706758
2021-05-06,1874,708632
2021-05-07,2104,710736
2021-05-08,475,711211
2021-05-09,364,711575
2021-05-10,1406,712981
2021-05-11,1508,714489
2021-05-12,1446,715935
2021-05-13,1273,717208
2021-05-14,1536,718744
2021-05-15,367,719111
2021-05-16,341,719452
2021-05-17,1271,720723
2021-05-18,1453,722176
2021-05-19,1249,723425
2021-05-20,1153,724578
2021-05-21,1396,725974
2021-05-22,330,726304
2021-05-23,274,726578
2021-05-24,1022,727600
2021-05-25,1174,728774
2021-05-26,1033,729807
2021-05-27,999,730806
2021-05-28,1102,731908
2021-05-29,288,732196
2021-05-30,249,732445
2021-05-31,885,733330
2021-06-01,887,734217
2021-06-02,851,735068
2021-06-03,746,735814
2021-06-04,731,736545
2021-06-05,257,736802
2021-06-06,134,736936
2021-06-07,628,737564
2021-06-08,674,738238
2021-06-09,602,738840
2021-06-10,478,739318
2021-06-11,612,739930
2021-06-12,163,740093
2021-06-13,123,740216
2021-06-14,484,740700
2021-06-15,568,741268
2021-06-16,459,741727
2021-06-17,403,742130
2021-06-18,464,742594
2021-06-19,162,742756
2021-06-20,168,742924
2021-06-21,496,743420
2021-06-22,523,743943
2021-06-23,555,744498
2021-06-24,539,745037
2021-06-25,649,745686
2021-06-26,218,745904
2021-06-27,175,746079
2021-06-28,656,746735
2021-06-29,844,747579
2021-06-30,889,748468
2021-07-01,898,749366
2021-07-02,1076,750442
