Fecha,Fecha_Notif,diario,PCR+
2020-02-25,25/02/2020,2,2
2020-02-26,26/02/2020,6,8
2020-02-27,27/02/2020,5,13
2020-02-28,28/02/2020,13,26
2020-02-29,29/02/2020,11,37
2020-03-01,01/03/2020,27,64
2020-03-02,02/03/2020,47,111
2020-03-03,03/03/2020,51,162
2020-03-04,04/03/2020,67,229
2020-03-05,05/03/2020,126,355
2020-03-06,06/03/2020,212,567
2020-03-07,07/03/2020,246,813
2020-03-08,08/03/2020,288,1101
2020-03-09,09/03/2020,543,1644
2020-03-10,10/03/2020,755,2399
2020-03-11,11/03/2020,831,3230
2020-03-12,12/03/2020,849,4079
2020-03-13,13/03/2020,1028,5107
2020-03-14,14/03/2020,953,6060
2020-03-15,15/03/2020,849,6909
2020-03-16,16/03/2020,1315,8224
2020-03-17,17/03/2020,2029,10253
2020-03-18,18/03/2020,1834,12087
2020-03-19,19/03/2020,2135,14222
2020-03-20,20/03/2020,2437,16659
2020-03-21,21/03/2020,1742,18401
2020-03-22,22/03/2020,1567,19968
2020-03-23,23/03/2020,2793,22761
2020-03-24,24/03/2020,2978,25739
2020-03-25,25/03/2020,3105,28844
2020-03-26,26/03/2020,3513,32357
2020-03-27,27/03/2020,2504,34861
2020-03-28,28/03/2020,1089,35950
2020-03-29,29/03/2020,906,36856
2020-03-30,30/03/2020,2671,39527
2020-03-31,31/03/2020,1944,41471
2020-04-01,01/04/2020,1916,43387
2020-04-02,02/04/2020,1954,45341
2020-04-03,03/04/2020,1897,47238
2020-04-04,04/04/2020,952,48190
2020-04-05,05/04/2020,582,48772
2020-04-06,06/04/2020,1756,50528
2020-04-07,07/04/2020,1596,52124
2020-04-08,08/04/2020,1610,53734
2020-04-09,09/04/2020,1113,54847
2020-04-10,10/04/2020,1009,55856
2020-04-11,11/04/2020,626,56482
2020-04-12,12/04/2020,409,56891
2020-04-13,13/04/2020,1218,58109
2020-04-14,14/04/2020,1368,59477
2020-04-15,15/04/2020,1156,60633
2020-04-16,16/04/2020,1066,61699
2020-04-17,17/04/2020,1082,62781
2020-04-18,18/04/2020,613,63394
2020-04-19,19/04/2020,271,63665
2020-04-20,20/04/2020,878,64543
2020-04-21,21/04/2020,934,65477
2020-04-22,22/04/2020,999,66476
2020-04-23,23/04/2020,769,67245
2020-04-24,24/04/2020,955,68200
2020-04-25,25/04/2020,412,68612
2020-04-26,26/04/2020,222,68834
2020-04-27,27/04/2020,990,69824
2020-04-28,28/04/2020,948,70772
2020-04-29,29/04/2020,900,71672
2020-04-30,30/04/2020,705,72377
2020-05-01,01/05/2020,307,72684
2020-05-02,02/05/2020,201,72885
2020-05-03,03/05/2020,202,73087
2020-05-04,04/05/2020,782,73869
2020-05-05,05/05/2020,788,74657
2020-05-06,06/05/2020,737,75394
2020-05-07,07/05/2020,629,76023
2020-05-08,08/05/2020,634,76657
2020-05-09,09/05/2020,186,76843
2020-05-10,10/05/2020,137,76980
2020-05-11,11/05/2020,671,77651
2020-05-12,12/05/2020,627,78278
2020-05-13,13/05/2020,661,78939
2020-05-14,14/05/2020,715,79654
2020-05-15,15/05/2020,423,80077
2020-05-16,16/05/2020,108,80185
2020-05-17,17/05/2020,134,80319
2020-05-18,18/05/2020,516,80835
2020-05-19,19/05/2020,579,81414
2020-05-20,20/05/2020,633,82047
2020-05-21,21/05/2020,453,82500
2020-05-22,22/05/2020,564,83064
2020-05-23,23/05/2020,167,83231
2020-05-24,24/05/2020,109,83340
2020-05-25,25/05/2020,409,83749
2020-05-26,26/05/2020,630,84379
2020-05-27,27/05/2020,603,84982
2020-05-28,28/05/2020,586,85568
2020-05-29,29/05/2020,568,86136
2020-05-30,30/05/2020,204,86340
2020-05-31,31/05/2020,160,86500
2020-06-01,01/06/2020,465,86965
2020-06-02,02/06/2020,613,87578
2020-06-03,03/06/2020,620,88198
2020-06-04,04/06/2020,529,88727
2020-06-05,05/06/2020,562,89289
2020-06-06,06/06/2020,246,89535
2020-06-07,07/06/2020,90,89625
2020-06-08,08/06/2020,400,90025
2020-06-09,09/06/2020,443,90468
2020-06-10,10/06/2020,441,90909
2020-06-11,11/06/2020,483,91392
2020-06-12,12/06/2020,551,91943
2020-06-13,13/06/2020,167,92110
2020-06-14,14/06/2020,63,92173
2020-06-15,15/06/2020,452,92625
2020-06-16,16/06/2020,431,93056
2020-06-17,17/06/2020,422,93478
2020-06-18,18/06/2020,489,93967
2020-06-19,19/06/2020,540,94507
2020-06-20,20/06/2020,161,94668
2020-06-21,21/06/2020,95,94763
2020-06-22,22/06/2020,245,95008
2020-06-23,23/06/2020,417,95425
2020-06-24,24/06/2020,439,95864
2020-06-25,25/06/2020,412,96276
2020-06-26,26/06/2020,457,96733
2020-06-27,27/06/2020,159,96892
2020-06-28,28/06/2020,75,96967
2020-06-29,29/06/2020,251,97218
2020-06-30,30/06/2020,414,97632
2020-07-01,01/07/2020,331,97963
2020-07-02,02/07/2020,322,98285
2020-07-03,03/07/2020,406,98691
2020-07-04,04/07/2020,168,98859
2020-07-05,05/07/2020,77,98936
2020-07-06,06/07/2020,213,99149
2020-07-07,07/07/2020,370,99519
2020-07-08,08/07/2020,318,99837
2020-07-09,09/07/2020,310,100147
2020-07-10,10/07/2020,472,100619
2020-07-11,11/07/2020,143,100762
2020-07-12,12/07/2020,84,100846
2020-07-13,13/07/2020,249,101095
2020-07-14,14/07/2020,457,101552
2020-07-15,15/07/2020,386,101938
2020-07-16,16/07/2020,323,102261
2020-07-17,17/07/2020,511,102772
2020-07-18,18/07/2020,162,102934
2020-07-19,19/07/2020,97,103031
2020-07-20,20/07/2020,305,103336
2020-07-21,21/07/2020,494,103830
2020-07-22,22/07/2020,459,104289
2020-07-23,23/07/2020,508,104797
2020-07-24,24/07/2020,782,105579
2020-07-25,25/07/2020,267,105846
2020-07-26,26/07/2020,162,106008
2020-07-27,27/07/2020,447,106455
2020-07-28,28/07/2020,849,107304
2020-07-29,29/07/2020,809,108113
2020-07-30,30/07/2020,984,109097
2020-07-31,31/07/2020,1401,110498
2020-08-01,01/08/2020,417,110915
2020-08-02,02/08/2020,240,111155
2020-08-03,03/08/2020,724,111879
2020-08-04,04/08/2020,1513,113392
2020-08-05,05/08/2020,1377,114769
2020-08-06,06/08/2020,1535,116304
2020-08-07,07/08/2020,2109,118413
2020-08-08,08/08/2020,633,119046
2020-08-09,09/08/2020,398,119444
2020-08-10,10/08/2020,922,120366
2020-08-11,11/08/2020,2516,122882
2020-08-12,12/08/2020,2236,125118
2020-08-13,13/08/2020,2494,127612
2020-08-14,14/08/2020,3355,130967
2020-08-15,15/08/2020,937,131904
2020-08-16,16/08/2020,537,132441
2020-08-17,17/08/2020,1309,133750
2020-08-18,18/08/2020,3568,137318
2020-08-19,19/08/2020,3389,140707
2020-08-20,20/08/2020,3264,143971
2020-08-21,21/08/2020,4655,148626
2020-08-22,22/08/2020,1330,149956
2020-08-23,23/08/2020,686,150642
2020-08-24,24/08/2020,1471,152113
2020-08-25,25/08/2020,4230,156343
2020-08-26,26/08/2020,3664,160007
2020-08-27,27/08/2020,3536,163543
2020-08-28,28/08/2020,4716,168259
2020-08-29,29/08/2020,1204,169463
2020-08-30,30/08/2020,980,170443
2020-08-31,31/08/2020,1618,172061
2020-09-01,01/09/2020,4231,176292
2020-09-02,02/09/2020,3818,180110
